,Artist,Song,Lyrics
10,Jim Morrison,Angels and Sailors,"Angels and sailors
Rich girls, backyard fences, tents
Dreams watching each other narrowly
Soft luxuriant cars
Girls in garages, stripped
Out to get liquor and clothes
Half gallons of wine and six packs of beer
Jumped, humped, born to suffer
Made to undress in the wilderness
I will never treat you mean
Never start no kind of scene
I'll tell you
Every place and person that I've been
Always a playground instructor
Never a killer
Always a bridesmaid
On the verge of fame or over
He manuevered two girls
Into his hotel room
One a friend
The other, the young one
A newer stranger
Vaguely Mexican or Puerto Rican
Poor boys thighs and buttocks
Scarred by a father's belt
She's trying to rise
Story of her boyfriend
Of teenage stoned death games
Handsome lad, dead in a car
Confusion
No connections
Come here
I love you
Peace on earth
Will you die for me?
Eat me
This way
The end
I'll always be true
Never go out, sneaking out on you, babe
If you'll only show me Far Arden again
I'm surprised you could get it up
He whips her lightly, sardonically with belt
""Haven't I been through enough?"" she asks
Now dressed and leaving
The Spanish girl begins to bleed;
She says her period
It's Catholic heaven
I have an ancient Indian crucifix around my neck
My chest is hard and brown
Lying on stained, wretched sheets
With a bleeding virgin
We could plan a murder
Or start a religionEmbedShare URLCopyEmbedCopy"
11,Jim Morrison,Hour For Magic,"Resident mockery
Give us an hour for magic
We of the purple glove
We of the starling flight and velvet hour
We of arabic pleasure's breed
We of sundome and the night
Give us a creed
To believe
A night of Lust
Give us trust in
The Night
Give of color
Hundred hues
A rich Mandala
For me and you
And for your silky
Pillowed house
A head, wisdom
And a bed
Troubled decree
Resilent mockery
Has claimed thee
We used to believe
In the good old days
We still receive
In little ways
The Things of Kindness
And unsporting brow
Forget and allowEmbedShare URLCopyEmbedCopy"
12,Jim Morrison,Black Polished Chrome,"The music was new, black polished chrome
And came over the summer like liquid night
The DJ's took pills to stay awake
And play for seven days
They went to the studio
And someone knew him
Someone knew the TV showman
He came to our homeroom party
And played records and when he left
In the hot noon sun
And walked to his car
We saw the Chooks had written
F-U-C-K on his windshield
He wiped it off with a white rag
And smiling cooly drove away
He's rich
Got a big carEmbedShare URLCopyEmbedCopy"
13,Jim Morrison,Dawn’s Highway,"Me and my mother and father -
And a grandmother and a grandfather -
Were driving through the desert
At dawn, and a truck load of Indian workers
Had either hit another car, or just -
I don't know what happened -
But there were Indians scattered
All over the highway, bleeding to death
So the car pulls up and stops
That was the first time I tasted fear
I must've been about four -
Like a child is like a flower
His head is just floating in the breeze, man
The reaction I get now thinking about it
Looking back - is that the souls
Or the ghosts, of those dead Indians
Maybe one or two of them
Were just running around freaking out
And just leaped into my soul
And they're still in thereEmbedShare URLCopyEmbedCopy"
14,Jim Morrison,Awake,"Is everybody in?
Is everybody in?
Is everybody in?
The ceremony is about to begin
Wake up!
You can't remember where it was
Had this dream stopped?EmbedShare URLCopyEmbedCopy"
15,Jim Morrison,Latino Chrome,"My gang will get you
Scenes of rape in the arroyo
Seductions in cars, abandoned buildings
Fights at the food stand
The dust
The shoes
Open shirts and raised collars
Bright sculptured hair
Hey man, you want girls, pills, grass?
Come on, I show you good time
This place has everything
Come on, I show youEmbedShare URLCopyEmbedCopy"
16,Jim Morrison,The Hitchhiker,"Thoughts in time and out of season
The Hitchhiker
Stood by the side of the road
And leveled his thumb
In the calm calculus of reason
Hi. How you doin'? I just got back into town L.A
I was out on the desert for awhile
Riders on the storm
Yeah. In the middle of it
Riders on the storm
Right...
Into this house we're born
Hey, listen, man, I really got a problem
Into this world we're thrown
When I was out on the desert, ya know
Like a dog without a bone
An actor out on loan
I don't know how to tell you
Riders on the storm
But, ah, I killed somebody
There's a killer on the road
No...
His brain is squirming like a toad
It's no big deal, ya know
I don't think anybody will find out about it, but...
Take a long holiday
Just, ah...
Let your children play
This guy gave me a ride, and ah...
If you give this man a ride
Started giving me a lot of trouble
Sweet family will die
And I just couldn't take it, ya know
Killer on the road
And I wasted him
YeahEmbedShare URLCopyEmbedCopy"
17,Jim Morrison,The World On Fire,"The world on fire
Taxi from Africa
The Grand Hotel
He was drunk -
A big party last night.
Back, going back
In all directions.
Sleeping these insane hours.
I'll never wake up in a good mood again.
I'm sick of these stinky boots.EmbedShare URLCopyEmbedCopy"
18,Jim Morrison,"Curses, Invocations","Curses, invocations
Weird bate-headed mongrels
I keep expecting one of you to rise
Large buxom obese queens
Garden hogs and cunt veterans
Quaint cabbage saints
Shit hoarders and individualists
Drag strip officials
Tight lipped losers and
Lustful fuck salesmen
My militant dandies
All strange order of monsters
Hot on the trail of the woodvine
We welcome you to our procession
Here come the comedians
Look at them smile
Watch them dance an Indian mile
Look at them gesture
How aplomb
So to gesture everyone
Words dissemble
Words be quick
Words resemble walking sticks
Plant them they will grow
Watch them waver so
I'll always be a word man
Better than a bird manEmbedShare URLCopyEmbedCopy"
19,Jim Morrison,The American Night,"for leather accrues
The miracle of the streets
The scents & smogs &
pollens of existence
Shiny blackness
so totally naked she was
Totally un-hung-up
We looked around
lights now on
Top see our fellow travellers
~~~
I am troubled
Immeasurably
By your eyes
I am struck
By the feather
of your soft
Reply
The sound of glass
Speaks quick
Disdain
And conceals
What your eyes fight
To explain
~~~
She looked so sad in sleep
Like a friendly hand
just out of reach
A candle stranded on
a beach
While the sun sinks low
an H-bomb in reverse
~~~
Everything human
is leaving
her face
Soon she will disappear
into the calm
vegetable
morass
Stay!
My Wild Love!
~~~
I get my best ideas when the
telephone rings & rings. It’s no fun
To feel like a fool-when your
baby’s gone. A new ax to my head:
Possession. I create my own sword
of Damascus. I’ve done nothing w/time.
A little tot prancing the boards playing
w/Revolution. When out there the
World awaits & abounds w/heavy gangs
of murderers & real madmen. Hanging
from windows as if to say: I’m bold-
do you love me? Just for tonight.
A One Night Stand. A dog howls & whines
at the glass sliding door (why can’t I
be in there?) A cat yowls. A car engine
revs & races against the grain- dry
rasping carbon protest. I put the book
down- & begin my own book.
Love for the fat girl.
When will SHE get here?
~~~
In the gloom
In the shady living room
where we lived & died
& laughed & cried
& the pride of our relationship
took hold that summer
What a trip
To hold your hand
& tell the cops
you’re not 16
no runaway
The wino left a little in
the old blue desert
bottle
Cattle skulls
the cliche of rats
who skim the trees
in search of fat
Hip children invade the grounds
& sleep in the wet grass
’til the dogs rush out
I’m going South!EmbedShare URLCopyEmbedCopy"
